race,called
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,yes
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
white,no
